Ticker,Date,Close,
price_direction_strategy,01-01-2004 00:00,0,
price_direction_strategy,02-01-2004 00:00,0,#DIV/0!
price_direction_strategy,05-01-2004 00:00,0,#DIV/0!
price_direction_strategy,06-01-2004 00:00,0,#DIV/0!
price_direction_strategy,07-01-2004 00:00,0,#DIV/0!
price_direction_strategy,08-01-2004 00:00,0,#DIV/0!
price_direction_strategy,09-01-2004 00:00,0,#DIV/0!
price_direction_strategy,12-01-2004 00:00,0,#DIV/0!
price_direction_strategy,13-01-2004 00:00,0,#DIV/0!
price_direction_strategy,14-01-2004 00:00,0,#DIV/0!
price_direction_strategy,15-01-2004 00:00,0,#DIV/0!
price_direction_strategy,16-01-2004 00:00,0,#DIV/0!
price_direction_strategy,19-01-2004 00:00,0,#DIV/0!
price_direction_strategy,20-01-2004 00:00,0,#DIV/0!
price_direction_strategy,21-01-2004 00:00,0,#DIV/0!
price_direction_strategy,22-01-2004 00:00,0,#DIV/0!
price_direction_strategy,23-01-2004 00:00,0,#DIV/0!
price_direction_strategy,26-01-2004 00:00,0,#DIV/0!
price_direction_strategy,27-01-2004 00:00,0,#DIV/0!
price_direction_strategy,28-01-2004 00:00,0,#DIV/0!
price_direction_strategy,29-01-2004 00:00,0,#DIV/0!
price_direction_strategy,30-01-2004 00:00,0,#DIV/0!
price_direction_strategy,02-02-2004 00:00,0,#DIV/0!
price_direction_strategy,03-02-2004 00:00,0,#DIV/0!
price_direction_strategy,04-02-2004 00:00,0,#DIV/0!
price_direction_strategy,05-02-2004 00:00,0,#DIV/0!
price_direction_strategy,06-02-2004 00:00,0,#DIV/0!
price_direction_strategy,09-02-2004 00:00,0,#DIV/0!
price_direction_strategy,10-02-2004 00:00,0,#DIV/0!
price_direction_strategy,11-02-2004 00:00,0,#DIV/0!
price_direction_strategy,12-02-2004 00:00,0,#DIV/0!
price_direction_strategy,13-02-2004 00:00,0,#DIV/0!
price_direction_strategy,16-02-2004 00:00,0,#DIV/0!
price_direction_strategy,17-02-2004 00:00,0,#DIV/0!
price_direction_strategy,18-02-2004 00:00,0,#DIV/0!
price_direction_strategy,19-02-2004 00:00,0,#DIV/0!
price_direction_strategy,20-02-2004 00:00,0,#DIV/0!
price_direction_strategy,23-02-2004 00:00,0,#DIV/0!
price_direction_strategy,24-02-2004 00:00,0,#DIV/0!
price_direction_strategy,25-02-2004 00:00,0,#DIV/0!
price_direction_strategy,26-02-2004 00:00,0,#DIV/0!
price_direction_strategy,27-02-2004 00:00,0,#DIV/0!
price_direction_strategy,01-03-2004 00:00,106444.84,#DIV/0!
price_direction_strategy,02-03-2004 00:00,106444.84,0.00%
price_direction_strategy,03-03-2004 00:00,105532.2352,-0.86%
price_direction_strategy,04-03-2004 00:00,104314.8225,-1.15%
price_direction_strategy,05-03-2004 00:00,104175.1876,-0.13%
price_direction_strategy,08-03-2004 00:00,103443.2573,-0.70%
price_direction_strategy,09-03-2004 00:00,102541.0125,-0.87%
price_direction_strategy,10-03-2004 00:00,102738.8046,0.19%
price_direction_strategy,11-03-2004 00:00,101142.0968,-1.55%
price_direction_strategy,12-03-2004 00:00,101858.8489,0.71%
price_direction_strategy,15-03-2004 00:00,100741.9524,-1.10%
price_direction_strategy,16-03-2004 00:00,99310.02132,-1.42%
price_direction_strategy,17-03-2004 00:00,100084.9811,0.78%
price_direction_strategy,18-03-2004 00:00,99016.66002,-1.07%
price_direction_strategy,19-03-2004 00:00,96802.53603,-2.24%
price_direction_strategy,22-03-2004 00:00,95012.48958,-1.85%
price_direction_strategy,23-03-2004 00:00,95793.56912,0.82%
price_direction_strategy,24-03-2004 00:00,96107.58924,0.33%
price_direction_strategy,25-03-2004 00:00,99393.04367,3.42%
price_direction_strategy,26-03-2004 00:00,100648.0864,1.26%
price_direction_strategy,29-03-2004 00:00,100777.438,0.13%
price_direction_strategy,30-03-2004 00:00,102081.4125,1.29%
price_direction_strategy,31-03-2004 00:00,104006.6678,1.89%
price_direction_strategy,01-04-2004 00:00,106896.1723,2.78%
price_direction_strategy,02-04-2004 00:00,109693.1009,2.62%
price_direction_strategy,05-04-2004 00:00,109390.9023,-0.28%
price_direction_strategy,06-04-2004 00:00,109755.9806,0.33%
price_direction_strategy,07-04-2004 00:00,109028.2797,-0.66%
price_direction_strategy,08-04-2004 00:00,109490.0368,0.42%
